Fact Number,Fun Fact
32,Creative Accounting: This is a somewhat negative term referring to accounting practices that exploit loopholes or misrepresent a company's financial state within legal boundaries.
33,The AICPA: The American Institute of Certified Public Accountants (AICPA) is the largest professional organization for CPAs in the United States.
34,"Sarbanes-Oxley Act: Passed in 2002 after major accounting scandals (like Enron), this act significantly increased the rigor of accounting and reporting standards for public companies."
35,Ethics in Accounting: Ethical conduct is a cornerstone of the profession; accountants must follow strict codes of ethics to maintain public trust in financial reporting.
36,The earliest known budgeting system was developed in China during the Zhou Dynasty (1046–256 BC).
37,Auditors can use tools like Benford's Law to detect anomalies and potential fraud in large datasets of numbers.
38,The first official accounting body was founded in Scotland in 1854: The Institute of Accountants and Actuaries in Glasgow.
39,"The term 'ledger' comes from the Old English word 'leggere,' meaning 'lying, dwelling, abiding,' referring to a book that was kept permanently in one place."
40,"Leonardo da Vinci worked as a financial advisor and accountant for his patrons, the Medici family."
41,"The concept of ""T-Accounts"" is a visual tool used to represent the two sides (debit and credit) of any accounting entry."
42,Inflation accounting adjusts financial statements to reflect changes in the purchasing power of money.
43,The highest-paid accountants often work in the fields of investment banking or specialized consulting.
44,"Fictional accountant-turned-hero Oscar Wallace, played by Charles Martin Smith, helped bring down Al Capone in *The Untouchables*."
45,Activity-Based Costing (ABC) is a method that assigns overhead costs to products and services more accurately than traditional methods.
46,"The acronym ""EBITDA"" (Earnings Before Interest, Taxes, Depreciation, and Amortization) is a common metric used by analysts to compare company operating performance."
47,The earliest known use of an abacus for calculation dates back to 2700–2300 BC in Mesopotamia.
48,"Financial modeling is the process of creating a numerical representation of a company's past, present, or projected future financial performance."
49,The Securities and Exchange Commission (SEC) in the U.S. relies heavily on reported financial statements prepared by CPAs.
50,"Accountants often specialize in specific industries, such as healthcare, real estate, or technology, due to unique reporting requirements."
51,The accounting software QuickBooks was first released in 1992 and quickly dominated the small business market.
52,Capital budgeting is the planning process used to determine whether an organization's long-term investments are worth pursuing.
53,The concept of 'materiality' dictates that accountants only need to worry about errors significant enough to influence a user's economic decision.
54,The Internal Revenue Service (IRS) employs thousands of accountants and auditors to ensure tax compliance.
55,"The first calculator, a mechanical device called the Pascaline, was invented by Blaise Pascal in 1642 to help his tax collector father."
56,"The phrase ""cooked the books"" refers to fraudulent manipulation of financial records."
57,"Zero-Based Budgeting (ZBB) requires all expenses to be justified for each new period, starting from a 'zero base.'"
58,"Revenue Recognition is one of the most complex areas of GAAP, particularly for subscription and software companies."
59,"The Uniform CPA Examination is administered in four sections: Auditing and Attestation (AUD), Business Environment and Concepts (BEC), Financial Accounting and Reporting (FAR), and Regulation (REG)."
60,"The earliest form of auditing involved listening to accounts being read aloud, as the word 'auditor' comes from the Latin 'audire,' meaning 'to hear.'"
61,"""Liabilities"" are defined as probable future sacrifices of economic benefits arising from present obligations."
62,"The accounting concept of ""prudence"" is synonymous with the Conservatism Principle."
63,"The concept of ""depletion"" is used instead of depreciation for natural resources like oil, gas, and timber."
64,Transfer pricing is the set of rules and methods for pricing transactions between associated enterprises within a multinational company.
65,Environmental accounting attempts to integrate environmental costs and benefits into financial reporting.
66,"The *Enron scandal* led directly to the collapse of Arthur Andersen, one of the ""Big Five"" accounting firms at the time."
67,The matching principle states that expenses should be recorded in the same period as the revenues they helped generate.
68,"Warren Buffett, one of the world's most successful investors, attributes much of his success to reading and understanding financial statements."
69,"A ""clean opinion"" or ""unqualified opinion"" from an auditor means the financial statements are presented fairly in all material respects."
70,Tax havens are countries or jurisdictions with very low or no tax liability for corporations and individuals.
71,"The concept of a 'fiscal year' (FY) is an annual period used for calculating financial statements, which doesn't always align with the calendar year."
72,"Cost of Goods Sold (COGS) is a crucial metric, representing the direct costs attributable to the production of the goods or services sold by a company."
73,"Fractional reserve banking, which allows banks to loan out a portion of deposits, requires complex accounting to track reserves."
74,"The financial crisis of 2008 triggered major changes in accounting standards, particularly regarding the fair value of assets."
75,"The ""window dressing"" technique involves artificially improving financial statements just before they are released."
76,"Managerial accounting reports are often highly confidential and not released to the public, unlike financial accounting reports."
77,"In ancient Greece, public accounts were managed by a body called the *Logistai*."
78,"The LIFO (Last-In, First-Out) inventory valuation method is often criticized internationally but is still allowed under U.S. GAAP."
79,"The FIFO (First-In, First-Out) method assumes the oldest inventory is sold first."
80,The accounting equation (Assets = Liabilities + Equity) is also known as the balance sheet equation.
81,"Forensic accountants often trace money laundering, a process involving placing, layering, and integrating illegally obtained funds."
82,"The ""times interest earned"" ratio is used by creditors to assess a company's ability to meet its debt obligations."
83,The earliest known audit was conducted in England during the reign of King John in the 13th century.
84,"Cryptocurrency transactions require specialized accounting treatment, particularly regarding their classification as assets."
85,"The ""full disclosure principle"" requires companies to include all information in their financial statements that might impact a user's decision."
86,"Accounting information systems (AIS) integrate data collection, storage, and processing to generate financial reports."
87,The term 'overhead' refers to all ongoing business expenses not directly attributed to creating a product or service.
88,"The ""Current Ratio"" measures a company's ability to pay short-term obligations and is a common liquidity metric."
89,The American Accounting Association (AAA) focuses primarily on accounting education and research.
90,Tax accounting involves planning for tax obligations and preparing tax returns for compliance.
91,The 'discount rate' is used in accounting to determine the present value of a future cash flow.
92,A 'budget variance' is the difference between the actual results and the expected results in a budget.
93,"The concept of ""economic entity assumption"" means a business's transactions should be kept separate from the owner's personal transactions."
94,"The accounting period assumption dictates that economic life can be divided into artificial time periods (like months, quarters, or years)."
95,The Monetary Unit Assumption states that only transaction data that can be expressed in terms of money should be included in the accounting records.
96,The 'cost principle' requires assets to be recorded at their cash-equivalent cost on the date of acquisition.
97,The 'revenue recognition' principle determines when revenue is officially recorded (or recognized) in the accounting books.
98,"The calculation of ""Goodwill"" arises when a company acquires another company for a price higher than the fair market value of its net assets."
99,"A ""contra account"" reduces the balance of another account (e.g., Accumulated Depreciation reduces the value of assets)."
100,"The **chart of accounts** is a list of all accounts used by a business, helping organize the general ledger."
101,"XBRL (eXtensible Business Reporting Language) is a standard used for electronic business reporting, simplifying data sharing."
102,"Internal controls are processes put in place by a company to ensure financial reporting integrity, prevent fraud, and comply with laws."
103,The term **solvency** refers to a company's ability to meet its long-term financial obligations.
104,The **liquidity** of an asset refers to how easily it can be converted into cash.
105,The **straight-line method** is the simplest and most common method for calculating depreciation.
106,**Deferred Revenue** (or unearned revenue) is a liability representing cash received for goods or services not yet delivered.
107,The **impaired asset** concept requires writing down the value of an asset if its fair value is less than its book value.
108,"In partnership accounting, the **Articles of Partnership** define how profits and losses will be shared."
109,The **capital account** in partnership accounting tracks each partner's ownership equity.
110,**Consolidated financial statements** combine the financial results of a parent company and its subsidiaries.
111,"An **interim report** is a financial statement covering a period shorter than a full fiscal year (e.g., quarterly reports)."
112,The **P/E ratio** (Price-to-Earnings ratio) is a popular valuation metric used by investors that relies on accurate earnings data.
113,**Zero-coupon bonds** do not pay interest regularly but are issued at a deep discount and mature at face value.
114,**Derivatives** (like futures and options) require complex fair-value accounting and disclosure.
115,The concept of **segment reporting** requires large companies to disclose financial data for different lines of business or geographic areas.
116,"**Bookkeeping** is the process of recording transactions, while **accounting** is the broader process of summarizing, analyzing, and reporting."
117,The **General Journal** is the 'book of original entry' where transactions are first recorded.
118,The **General Ledger** organizes all journal entries by account.
119,A **trial balance** is a report listing the balances of all ledger accounts to ensure total debits equal total credits.
120,"**Closing entries** are made at the end of an accounting period to reset temporary accounts (revenue, expenses, dividends) to zero."
121,**Budgeting** is a forward-looking accounting function used for planning and control.
122,**Cash flows from operating activities** reflect the main income-producing activities of a company.
123,**Cash flows from investing activities** track purchases and sales of long-term assets.
124,"**Cash flows from financing activities** involve transactions with owners and creditors (e.g., issuing stock or paying dividends)."
125,**Earnings Per Share (EPS)** is a required disclosure on the income statement for publicly traded companies.
126,"The **Quick Ratio** (Acid-Test Ratio) is a stricter measure of liquidity than the current ratio, excluding inventory."
127,**Ratio Analysis** is the process of evaluating financial statement data by calculating and comparing ratios.
128,"**Vertical analysis** (common-size analysis) expresses each item on a financial statement as a percentage of a base amount (e.g., Sales)."
129,**Horizontal analysis** (trend analysis) compares financial data across two or more years.
130,The **Residual Value** (or salvage value) is the estimated value of an asset at the end of its useful life.
131,**Treasury Stock** refers to shares of its own stock that a corporation has repurchased.
132,"**Par Value** is the legal nominal value assigned to a share of stock, often set very low."
133,"**Contingent liabilities** are potential obligations whose outcome depends on a future event (e.g., a lawsuit)."
134,"**Lease accounting** under IFRS 16/ASC 842 has dramatically changed, requiring most long-term leases to be capitalized on the balance sheet."
135,The **effective interest method** is the required approach for calculating interest expense on bonds.
136,**Pensions** and other post-retirement benefits require complex actuarial assumptions and accounting disclosures.
137,**Stock options** granted to employees impact compensation expense and require specific valuation models.
138,**Capitalizing a cost** means recording it as an asset on the balance sheet rather than an expense on the income statement.
139,"**Research and development (R\&D) costs** are generally expensed immediately under U.S. GAAP, but IFRS sometimes allows capitalization."
140,**The 'Rule of 72'** is a simple accounting/finance rule to estimate the time required to double an investment.
141,"**Internal auditors** focus on improving organizational effectiveness, risk management, and governance processes."
142,**External auditors** provide an independent opinion on the fairness of financial statements for external stakeholders.
143,The **Public Company Accounting Oversight Board (PCAOB)** was established by Sarbanes-Oxley to oversee the audits of public companies.
144,The **Financial Accounting Standards Board (FASB)** is the organization that sets GAAP in the U.S.
145,"The **International Accounting Standards Board (IASB)** sets IFRS, used globally."
146,"**Cost accounting** tracks, analyzes, and reports the costs of a company's operations."
147,**Break-Even Analysis** is a management accounting tool to determine the sales volume required to cover total costs.
148,**Relevant range** is the range of activity over which the relationship between cost and activity is assumed to be linear.
149,**Sunk costs** are past costs that cannot be recovered and are irrelevant for future decision-making.
150,**Opportunity cost** is the benefit foregone by choosing one alternative over another.
151,"**Fringe benefits** (e.g., health insurance, retirement plans) are a major component of labor cost accounting."
152,The **purchase journal** records all credit purchases of inventory and supplies.
153,The **sales journal** records all credit sales of merchandise.
154,"**Petty cash** is a small amount of cash kept on hand for minor, incidental expenses."
155,A **bank reconciliation** is performed to match the balance of cash in the bank's records with the balance in the company's records.
156,**Aging of receivables** is a method for estimating the allowance for doubtful accounts based on how long invoices have been outstanding.
157,**Bad Debt Expense** is the expense associated with accounts receivable that are deemed uncollectible.
158,The **Net Realizable Value (NRV)** of accounts receivable is the amount expected to be collected.
159,"**Inventory shrinkage** is the loss of inventory due to theft, damage, or errors."
160,The **periodicity assumption** is another name for the accounting period assumption.
161,The **contingent fee** rule prohibits CPAs from accepting payment contingent on the outcome of an audit or financial review.
162,The **Public Trust** is the foundational ethical concept of the accounting profession.
163,**Whistleblower protection** laws encourage accountants to report instances of corporate fraud.
164,The **AASB** (Australian Accounting Standards Board) sets accounting standards in Australia.
165,**Blockchain technology** is currently being explored for its potential to revolutionize audit trails and reduce fraud.
166,The **use of footnotes** is mandatory in financial statements to provide detailed context and required disclosures.
167,"A **qualified opinion** from an auditor suggests the financial statements are generally fair, except for a specific, non-pervasive issue."
168,"An **adverse opinion** is the worst an auditor can give, meaning the financial statements are not fairly presented."
169,The **Disclaimer of Opinion** is issued when the auditor is unable to express an opinion due to significant scope limitations.
170,"The **Financial Stability Oversight Council (FSOC)** monitors financial risks that could impact U.S. financial stability, relying on accounting data."
171,**International Tax Law** is one of the most rapidly changing and specialized areas of tax accounting.
172,The **BEPS** (Base Erosion and Profit Shifting) project aims to combat tax avoidance strategies used by multinational companies.
173,"**Cryptocurrency tax accounting** is complicated by the fact that the IRS treats crypto as property, not currency."
174,"**The term 'amortization' comes from the Latin 'ad mortem,' meaning 'to death' or 'to extinction.'**"
175,"**Capital expenditures (CapEx)** are funds used to acquire, upgrade, and maintain physical assets like property, buildings, or equipment."
176,**Operating expenditures (OpEx)** are the expenses required for the day-to-day functioning of a business.
177,The **Times interest earned (TIE) ratio** is a key solvency metric used by lenders.
178,**Working capital** is defined as current assets minus current liabilities.
179,**The Duality Concept** means that every transaction has a minimum of two effects on the accounting equation.
180,**Cloud accounting** (or online accounting software) allows real-time data entry and access from anywhere.
181,**The term 'sundry'** is occasionally used in accounting to categorize miscellaneous small items.
182,**A voucher system** is an internal control that requires a signed document (a voucher) to authorize every disbursement.
183,**The FIFO vs. LIFO debate** can significantly impact a company's reported profit and taxes during periods of high inflation.
184,**Dollar-Value LIFO** is a sophisticated method of LIFO inventory valuation that groups inventory into pools based on common characteristics.
185,**The impairment test** for goodwill must be performed at least annually.
186,"**Actuarial science** is closely related to accounting, especially in the valuation of pensions and insurance liabilities."
187,**Transfer pricing** issues are the cause of major disputes between multinational corporations and tax authorities worldwide.
188,The **equity method** of accounting is used when an investor has significant influence (usually 20-50% ownership) over an investee company.
189,**Consolidation** is required when a parent company holds a controlling interest (usually over 50%) in a subsidiary.
190,**Foreign currency translation** requires complex rules to convert the financial statements of foreign subsidiaries into the parent company's reporting currency.
191,"The **effective tax rate** is the average rate of tax paid on pre-tax profits, often different from the statutory rate due to deductions."
192,**Deferred tax liabilities** arise when taxable income is less than accounting income (due to timing differences).
193,**Deferred tax assets** arise when taxable income is greater than accounting income.
194,"**The ""economic substance doctrine""** is a judicial concept used to disallow transactions that lack a business purpose other than tax reduction."
195,**The concept of Fair Value Accounting** requires many assets and liabilities to be valued at their current market price.
196,**Mark-to-Market Accounting** is a specific application of fair value accounting that was debated heavily during the 2008 financial crisis.
197,**Behavioral accounting** studies the role of human factors and decision-making in the accounting process.
198,**Attestation services** involve an accountant providing assurance on a variety of financial or non-financial information.
199,**Assurance services** are independent professional services that improve the quality of information for decision-makers.
200,"**The term 'forensic' comes from the Latin word 'forensis,' meaning 'public' or 'of the forum.'**"
201,**The *Treadway Commission*** was established in 1985 to study fraud in financial reporting.
202,**COSO** (Committee of Sponsoring Organizations) internal control framework is the most widely adopted framework in the U.S.
203,**The segregation of duties** is a key internal control that prevents one person from having control over all parts of a transaction.
204,**Data Analytics** and AI are rapidly transforming auditing by allowing auditors to analyze 100% of transactions instead of just a sample.
205,**The professional skepticism** concept requires auditors to maintain a questioning mind and critically assess audit evidence.
206,**A subsequent event** is an event occurring between the date of the financial statements and the date of the auditor's report.
207,**Management representation letters** are required documents in an audit where management asserts their responsibility for the financial statements.
208,"**The distinction between a 'bookkeeper' and an 'accountant'** is often blurred, but accountants generally require a college degree and analyze data."
209,**The first known female auditor** was a woman named Maria who lived in Renaissance Italy.
210,**The earliest accounting records** were often kept on wet clay tablets using cuneiform script.
211,"**The term 'credit' comes from the Latin 'credere,' meaning 'to trust' or 'to believe.'**"
212,"**The term 'debit' comes from the Latin 'debere,' meaning 'to owe.'**"
213,"**The concept of the 'going concern'** is what allows accountants to use cost as the primary basis for valuing most assets, rather than liquidation value."
214,"**The ""Substance Over Form"" principle** dictates that the economic reality of a transaction takes precedence over its legal form."
215,**Capital stock** is the total number of shares a corporation is authorized to issue.
216,**The debt-to-equity ratio** is a common leverage metric that compares total liabilities to total shareholder equity.
217,**A Weighted Average Cost of Capital (WACC)** is the average rate of return a company expects to pay to all its security holders.
218,"**Discounted Cash Flow (DCF)** analysis is a core valuation method in finance, relying heavily on forecasted accounting data."
219,**Earnings Management** is the strategic choice of accounting methods to achieve desired earnings results.
220,"**The concept of 'Extraordinary Items'** was removed from GAAP in 2015, simplifying income statement reporting."
221,**The distinction between 'operating' and 'non-operating' activities** helps users understand a company's core business performance.
222,**The allowance method** is the required GAAP method for accounting for uncollectible accounts receivable.
223,**Pledging receivables** is when a company uses its accounts receivable as collateral for a loan.
224,**Factoring receivables** is when a company sells its accounts receivable to a financial institution at a discount.
225,"**Cost flow assumptions (FIFO, LIFO, Average Cost)** are methods for allocating the cost of inventory sold and inventory remaining."
226,**The lower-of-cost-or-market (LCM) rule** requires inventory to be valued at the lower of its historical cost or its current market value.
227,"**Basket purchase** refers to buying multiple assets for a single lump-sum price, requiring cost allocation."
228,"**Intangible assets** (like patents, trademarks, and copyrights) lack physical substance but represent economic rights."
229,**Finite-life intangibles** (like patents) are amortized over their useful life.
230,**Indefinite-life intangibles** (like goodwill) are tested for impairment annually instead of being amortized.
231,"**Research costs** are generally expensed, while **Development costs** are sometimes capitalized, depending on the phase."
232,"**The effective interest rate** is the actual rate of interest paid or earned, used for discounting bonds."
233,**The face value** of a bond is the principal amount that the issuer is obligated to pay at maturity.
234,**Bonds issued at a premium** mean the stated interest rate is higher than the market interest rate.
235,**Bonds issued at a discount** mean the stated interest rate is lower than the market interest rate.
236,**The definition of equity** is the residual interest in the assets after deducting liabilities.
237,"**Stock splits** increase the number of shares outstanding and decrease the par value per share, but do not change total equity."
238,**The statement of retained earnings** reconciles the beginning and ending balances of retained earnings for the period.
239,**Prior period adjustments** are corrections of errors that occurred in previous periods and are reported net of tax.
240,"**Comprehensive income** includes net income plus other non-owner changes in equity, such as unrealized gains/losses on available-for-sale securities."
241,**The debt-to-assets ratio** measures the percentage of total assets financed by creditors.
242,**The Return on Equity (ROE)** ratio measures how much profit a company generates for each dollar of shareholder equity.
243,"**The DuPont analysis** breaks down ROE into three components: net profit margin, asset turnover, and financial leverage."
244,**Responsibility accounting** is a system that evaluates the performance of different segments of a company based on controllable factors.
245,**A cost center** is a segment whose manager is responsible only for costs.
246,**A profit center** is a segment whose manager is responsible for both revenues and costs.
247,"**An investment center** is a segment whose manager is responsible for revenues, costs, and the assets invested."
248,**Standard costing** involves setting predetermined costs for inputs and operations to control costs and measure variance.
249,"**Flexible budgets** adjust based on the actual level of activity, making them more useful for performance evaluation than static budgets."
250,**Capitalization of interest** is required for construction projects that take a long time to complete.
251,"**The term 'sustainability reporting'** refers to the disclosure of environmental, social, and governance (ESG) performance."
252,"**Integrated Reporting** aims to show the links between a company's strategy, governance, performance, and value creation."
253,**The 'assurance' provided on sustainability reports** is generally lower (limited assurance) than on financial statements (reasonable assurance).
254,**Governmental accounting** focuses on the management of public funds and is highly regulated by the GASB (Governmental Accounting Standards Board).
255,"**Fund accounting** is a key feature of governmental and non-profit accounting, keeping different groups of assets segregated."
256,**Fiduciary funds** in governmental accounting are used to account for assets held by the government acting as a trustee for others.
257,"**Proprietary funds** (like enterprise funds) in government accounting use the accrual basis, similar to for-profit businesses."
258,**Non-profit accounting** uses the accrual basis but classifies net assets as 'with donor restrictions' or 'without donor restrictions.'
259,**The largest single expenditure for most for-profit companies is typically the Cost of Goods Sold.**
260,"**The 'true' profit of a business is reflected in its retained earnings over time, not just the current year's net income.**"
261,**A sinking fund** is a fund set aside (usually cash) for the purpose of redeeming bonds or debentures.
262,**The efficient market hypothesis** suggests that publicly available accounting information is immediately reflected in stock prices.
263,**Value-added tax (VAT)** is a consumption tax assessed on the value added to a good or service at each stage of production.
264,"**In many countries, tax systems are based on IFRS, leading to fewer differences between book and tax income.**"
265,\*\*The concept of **'subchapter S'** in the U.S. allows certain corporations to pass income/losses directly to shareholders to avoid double taxation.
266,**The term 'net'** in accounting always means 'after deductions.'
267,**Gross profit** is the profit before deducting operating expenses.
268,**Operating income** is gross profit minus operating expenses (before interest and taxes).
269,**The 'bottom line'** refers to net income because it is typically the last line on the income statement.
270,**The perpetual inventory system** continuously tracks inventory quantities and costs in real-time.
271,**The periodic inventory system** determines inventory and COGS only at the end of the accounting period.
272,"**The allowance for doubtful accounts** is a **contra-asset** account, reducing Accounts Receivable."
273,**A promissory note** is a written promise to pay a specified amount of money on demand or at a definite time.
274,**Discounting a note receivable** means selling it to a bank before maturity to get immediate cash.
275,**Capital lease** (now called finance lease under IFRS/ASC 842) is treated as the purchase of an asset and incurrence of debt.
276,**Operating lease** is treated as a rental agreement (though most are now capitalized under new standards).
277,**The 'double declaration' method** is an accelerated depreciation method that doubles the straight-line rate.
278,"**Units-of-production depreciation** is based on the actual usage of the asset, not just time."
279,**Land** is the only tangible asset that is generally *not* depreciated.
280,**Land improvements** (like paving or fences) *are* depreciated.
281,**A bond indenture** is the contract that specifies all the terms and covenants of a bond issue.
282,**Convertible bonds** can be exchanged for a fixed number of shares of common stock.
283,**Callable bonds** allow the issuer to repurchase the bonds before maturity.
284,**Additional Paid-in Capital (APIC)** is the amount received from stock issuance that exceeds the par value.
285,**The date of declaration** is when the board formally announces a dividend.
286,**The date of record** determines which shareholders receive the dividend.
287,**The date of payment** is when the dividend is actually paid.
288,"**A stock dividend** issues additional shares of stock instead of cash, increasing the number of shares but not changing total equity."
289,**The dividend payout ratio** measures the percentage of earnings paid out as dividends.
290,**Diluted EPS** is a conservative measure of EPS that includes the potential conversion of all dilutive securities (like options or convertible bonds).
291,**The statement of cash flows** is the only financial statement that is not primarily based on the accrual method.
292,**The indirect method** of cash flow preparation starts with net income and adjusts for non-cash items and changes in working capital.
293,**The direct method** of cash flow preparation reports major classes of gross cash receipts and cash payments.
294,**The vast majority of companies use the indirect method** for cash flow reporting because it is easier.
295,"**The term 'FOB Shipping Point'** means the sale occurs at the seller's location, and the buyer pays freight."
296,"**The term 'FOB Destination'** means the sale occurs at the buyer's location, and the seller pays freight."
297,**The *times inventory turnover* ratio** measures how quickly inventory is sold.
298,**The *days sales in inventory* ratio** shows the average number of days inventory is held.
299,**The *times accounts receivable turnover* ratio** measures how quickly receivables are collected.
300,**The *days sales outstanding (DSO)* ratio** shows the average number of days it takes to collect cash after a sale.
301,**The term 'budgetary slack'** refers to intentionally underestimating revenues or overestimating expenses in a budget.
302,"**Kaizen budgeting** is a continuous improvement approach that requires small, incremental reductions in costs each period."
303,"**The 'Master Budget'** is a set of interrelated budgets (sales, production, expenses) that translates a business's goals into financial terms."
304,**Fixed costs** remain constant in total regardless of changes in activity level within the relevant range.
305,**Variable costs** change in total in direct proportion to changes in the activity level.
306,"**Mixed costs** contain both a fixed and a variable component (e.g., a phone bill with a fixed base fee plus per-minute charges)."
307,**The high-low method** is a quick way to estimate the fixed and variable components of a mixed cost.
308,"**The contribution margin** is the amount of revenue remaining after deducting variable costs, used to cover fixed costs."
309,**Operating leverage** measures how sensitive net income is to changes in sales volume.
310,**Just-in-Time (JIT)** inventory management aims to reduce inventory carrying costs by receiving materials only when needed.
311,"**Total Quality Management (TQM)** programs have significant cost accounting implications related to quality costs (prevention, appraisal, internal/external failure)."
312,"**The Balanced Scorecard** is a performance measurement system that includes financial and non-financial metrics (customer, internal process, learning/growth)."
313,\*\*The **ISO 9000** series are quality management standards that often require changes to a company's cost accounting system.
314,**Outsourcing decisions** rely heavily on incremental cost analysis from managerial accounting.
315,\*\*The concept of **'Agency Theory'** in accounting studies the conflicts of interest between company management (agents) and shareholders (principals).
316,**The role of CPAs as expert witnesses** in court cases falls under the forensic accounting discipline.
317,\*\*A **Ponzi scheme** is a type of financial fraud where returns are paid to older investors using money contributed by newer investors.
318,"**The largest financial fraud in history** was perpetrated by Bernie Madoff, using complex accounting deception."
319,\*\*The **Auditing Standards Board (ASB)** sets auditing standards for non-public companies in the U.S.
320,**The term 'control environment'** in an internal control system refers to the overall tone and culture of an organization regarding control consciousness.
321,**Test of controls** are audit procedures designed to evaluate the effectiveness of an entity's internal controls.
322,**Substantive tests** are audit procedures designed to detect material misstatements in the financial statements.
323,"**Confirmation** is a common audit procedure involving obtaining a direct written response from a third party (e.g., customers or banks)."
324,**Analytical procedures** involve evaluating financial information through analysis of plausible relationships among financial and non-financial data.
325,**The concept of 'independence'** is paramount for external auditors to ensure objectivity.
326,\*\*The **Circular 230** governs the practice of tax professionals before the IRS.
327,"\*\*The **tax basis** of an asset is generally its cost, used to calculate depreciation and gain/loss upon sale."
328,"**Tax credits** (like the R\&D tax credit) directly reduce the tax liability, making them more valuable than deductions."
329,"**Alternative Minimum Tax (AMT)** was designed to ensure that wealthy individuals and corporations pay at least a minimum amount of tax, regardless of deductions."
330,**The concept of 'nexus'** determines if a company has enough connection to a state or country to be subject to its tax laws.
331,**Cryptocurrency mining** can generate complex tax liabilities regarding the fair market value of the earned crypto.
332,\*\*The **Wash Sale Rule** prevents investors from claiming a loss on the sale of a security if they repurchase it within 30 days.
333,"**Municipal bond interest** is often exempt from federal income tax, a key feature for wealthy investors."
